item_id,caption,required,data_type,format,max_length,allow_editing
9108,8. 음주력여부구분,false,selectbox,,,true
9110,10. 음주시작연령값,false,,,,true
9111,11. 음주종류,false,selectbox,,,true
9113,13. 음주량,false,,,,true
9114,14. 음주횟수,false,,,,true
9115,15. 음주기간년수,false,,,,true
9116,16. 금주시작년도,false,,,,true
9121,21. 흡연시작연령값,false,,,,true
9122,22. 흡연기간년수,false,,,,true
9123,23. 흡연량,false,,,,true
9124,24. 금연시작년도,false,,,,true
9202,2. 환자대체번호,false,,,,true
9028,28. 분화도,false,selectbox,,,true
9051,51. 원격전이코드1,false,,,,true
9103,3. 입원일자,true,date,yyyyMMdd,,true
9204,4. 가족력기록순번,true,,,,false
9304,4. 신체계측기록순번,true,,,,false
9404,4. 진단등록순번,true,,,,false
9104,4. 건강정보순번,true,,,,false
15002,2. 환자대체번호,false,,,,true
15008,8. 수술명,false,textarea,,,true
15010,10. 수술EDI명,false,,,,true
15012,12. 수술SNOMEDCT명,false,,,,true
15014,14. 수술ICD9CM명,false,,,,true
15015,15. 수술소요시간,false,,,,true
13006,위내시경검사목적명,false,,,,true
9511,11. 임상M병기값,false,,,,true
9602,2. 환자대체번호,false,,,,true
10004,4. 분자병리검사순번,true,,,,false
9603,3. 전이진단일자,true,date,yyyyMMdd,,true
9607,7. 전이부위,false,selectbox,,,true
9609,9. 전이양상,false,selectbox,,,true
9611,11. 전이치료,false,selectbox,,,true
9702,2. 환자대체번호,false,,,,true
9705,5. 진단검사종류,false,selectbox,,,true
9707,7. 진단검사코드,false,,,,true
15004,4. 수술순번,true,,,,false
9804,4. 영상검사순번,true,,,,false
9704,4. 진단검사순번,true,,,,false
12004,4. HPYLORI검사순번,true,,,,false
13004,4. 위내시경검사순번,true,,,,false
14004,4. EUS검사순번,true,,,,false
9604,4. 전이진단순번,true,,,,false
11004,4. 생체검사순번,true,,,,false
9502,2. 환자대체번호,false,,,,true
9505,5. 임상종양특성,false,selectbox,,,true
9507,7. AJCC년도,false,,,,true
9508,8. 임상TNM병기값,false,,,,true
9509,9. 임상T병기값,false,,,,true
9510,10. 임상N병기값,false,,,,true
9709,9. 진단검사EDI코드,false,,,,true
9710,10. 진단검사EDI명,false,,,,true
9711,11. 진단검사SNOMEDCT코드,false,,,,true
9712,12. 진단검사SNOMEDCT명,false,,,,true
9713,13. 진단검사LOINC코드,false,,,,true
9714,14. 진단검사LOINC명,false,,,,true
9717,17. 진단검사정상범위참고값,false,,,,true
9802,2. 환자대체번호,false,,,,true
9803,3. 영상검사일자,true,date,yyyyMMdd,,true
9807,7. 영상검사코드,false,,,,true
9808,8. 영상검사명,false,,,,true
9809,9. 영상검사EDI코드,false,,,,true
9810,10. 영상검사EDI명,false,,,,true
9811,11. 영상검사SNOMEDCT코드,false,,,,true
9812,12. 영상검사SNOMEDCT명,false,,,,true
9902,2. 환자대체번호,false,,,,true
9903,3. 면역병리검사일자,true,date,yyyyMMdd,,true
9708,8. 진단검사명,false,,,,true
9907,7. 면역병리검사명,false,,,,true
10002,2. 환자대체번호,false,,,,true
10005,5. 분자병리판독일자,false,date,yyyyMMdd,,true
11005,5. 생체검사판독일자,false,date,yyyyMMdd,,true
10007,7. 분자병리검사명,false,,,,true
12002,2. 환자대체번호,false,,,,true
13002,2. 환자대체번호,false,,,,true
13003,3. 위내시경검사일자,true,date,yyyyMMdd,,true
13007,7. 위내시경조직표본수,false,,,,true
14002,2. 환자대체번호,false,,,,true
11009,9. 생체검사방법명,false,,,,true
9605,5. 전이진단방법,false,selectbox,,,true
9139,39. 병력암종류,false,selectbox,,,true
9805,5. 영상검사종류,false,selectbox,,,true
10003,3. 분자병리검사일자,true,date,yyyyMMdd,,true
12003,3. HPYLORI검사일자,true,date,yyyyMMdd,,true
15003,3. 수술일자,true,date,yyyyMMdd,,true
9504,4. 진단병기기록순번,true,,,,false
9904,4. 면역병리검사순번,true,,,,false
11002,2. 환자대체번호,false,,,,true
9814,정렬순번,false,,,,true
9914,정렬순번,false,,,,true
10014,정렬순번,false,,,,true
11016,정렬순번,false,,,,true
12008,정렬순번,false,,,,true
13015,정렬순번,false,,,,true
14014,정렬순번,false,,,,true
17021,22. 종양가로길이값,false,,,,true
15018,18. 수술방법,false,selectbox,,,true
15020,20. 수술마취부위,false,selectbox,,,true
15022,22. ASA점수,false,selectbox,,,true
15024,24. 수술절개방법,false,selectbox,,,true
15026,26. 수술둘레방향종양위치,false,selectbox,,,true
15028,28. 수술종방향1종양위치,false,selectbox,,,true
15030,30. 수술종방향2종양위치,false,selectbox,,,true
15032,32. 진단복강경검사여부구분,false,selectbox,,,true
15034,34. 수술장내시경사용여부구분,false,selectbox,,,true
15036,36. 형광영상사용여부구분,false,selectbox,,,true
15042,42. 유착방지제제품명,false,,,,true
15054,54. 재건술사용도구명,false,,,,true
15059,59. 수술추정실혈량,false,,,,true
16002,2. 환자대체번호,false,,,,true
17022,23. 종양세로길이값,false,,,,true
17023,24. 종양높이값,false,,,,true
17024,25. 종양최대직경값,false,,,,true
17029,30. 침윤깊이값,false,,,,true
17037,39. 수술근위절제면크기값,false,,,,true
17040,42. 수술원위절제면크기값,false,,,,true
17044,46. 양성림프절수,false,,,,true
17046,48. AJCC년도,false,,,,true
17047,49. 수술후병리TNM병기값,false,,,,true
17048,50. 수술후병리T병기값,false,,,,true
17049,51. 수술후병리N병기값,false,,,,true
17050,52. 수술후병리M병기값,false,,,,true
17053,55. ESD수직절제면값,false,,,,true
17056,58. ESD수평절제면값,false,,,,true
18002,2. 환자대체번호,false,,,,true
18003,3. 합병증발생수술일자,true,date,yyyyMMdd,,true
19002,2. 환자대체번호,false,,,,true
19007,7. 혈액제제코드,false,,,,true
19008,8. 혈액제제명,false,,,,true
19010,9. 수혈팩수,false,,,,true
19011,10. 수혈총량,false,,,,true
20002,2. 환자대체번호,false,,,,true
20012,12. 약제성분명,false,,,,true
20014,14. 약제성분SNOMEDCT명,false,,,,true
20016,16. 약제명,false,,,,true
9054,정렬순번,false,,,,true
9156,정렬순번,false,,,,true
9226,정렬순번,false,,,,true
15061,정렬순번,false,,,,true
16024,정렬순번,false,,,,true
17058,정렬순번,false,,,,true
18010,정렬순번,false,,,,true
19012,정렬순번,false,,,,true
20030,정렬순번,false,,,,true
21021,정렬순번,false,,,,true
22028,정렬순번,false,,,,true
23012,정렬순번,false,,,,true
17043,45. 총림프절수,false,,,,true
17057,59. ESD수평절제면잔존암길이값,false,,,,true
16005,5. ESD시술시작일시,false,time,HH:mm:ss,,true
16003,3. ESD시술일자,true,date,yyyyMMdd,,true
16007,7. ESD병변크기값,false,,,,true
17002,2. 환자대체번호,false,,,,true
17003,3. 외과병리검사일자,true,date,yyyyMMdd,,true
17008,8. 외과병리검사결과종양수,false,,,,true
9311,정렬순번,false,,,,true
9413,정렬순번,false,,,,true
9512,정렬순번,false,,,,true
9612,정렬순번,false,,,,true
9718,정렬순번,false,,,,true
16006,6. ESD시술종료일시,false,time,HH:mm:ss,,true
16004,4. ESD시술순번,true,,,,false
17004,4. 외과병리검사순번,true,,,,false
18004,4. 합병증발생수술순번,true,,,,false
20004,4. 약제처방순번,true,,,,false
19004,4. 수혈처방순번,true,,,,false
21010,10. 항암요법명,false,,,,true
9119,19. 흡연력여부구분,false,selectbox,,,true
9131,31. 병력당뇨여부구분,false,selectbox,,,true
9715,15. 진단검사결과내용,false,textarea,,4000,true
9203,3. 가족력기록일자,true,date,yyyyMMdd,,true
9207,7. 환자가족관계,false,selectbox,,,true
9813,13. 영상검사결과내용,false,textarea,,4000,true
9912,12. 면역병리검사결과내용,false,textarea,,200,true
13009,9. 위내시경검사결과내용,false,textarea,,4000,true
9716,16. 진단검사결과단위내용,false,textarea,,,true
14011,11. EUS검사소견내용,false,textarea,,4000,true
17020,21. GROSS유형내용,false,textarea,,200,true
20029,29. 약제투약기간월수,false,,,,true
21011,11. 항암요법임시중단여부구분,false,selectbox,,,true
22002,2. 환자대체번호,false,,,,true
10012,12. 분자병리검사결과내용,false,textarea,,200,true
22020,20. 방사선치료평가일자,false,string,"",,true
22005,5. 방사선치료종류,false,selectbox,,,true
9205,5. 가족력여부구분,false,selectbox,,,true
9905,5. 면역병리판독일자,false,date,yyyyMMdd,,true
9133,33. 병력결핵여부구분,false,selectbox,,,true
9303,3. 신체계측기록일자,true,date,yyyyMMdd,,true
22018,18. 방사선선량,false,,,,true
22019,19. 부위별방사선총선량,false,,,,true
11012,12. 생체검사결과내용,false,textarea,,2000,true
13008,8. 위내시경검사소견내용,false,textarea,,4000,true
14012,12. EUS검사결과내용,false,textarea,,4000,true
15049,49. 림프절절제정도상세내용,false,textarea,,500,true
10013,13. 분자병리검사결과단위내용,false,selectbox,,,true
11003,3. 생체검사일자,true,date,yyyyMMdd,,true
9149,49. 기타병력질환내용,false,textarea,,200,true
16022,22. ESD소견내용,false,textarea,,4000,true
9135,35. 병력간질환여부구분,false,selectbox,,,true
9137,37. 병력암여부구분,false,selectbox,,,true
22003,3. 방사선치료처방일자,true,date,yyyyMMdd,,true
23002,2. 환자대체번호,false,,,,true
9127,27. 병력고지혈증여부구분,false,selectbox,,,true
17045,47. 림프절위치별전이내용,false,textarea,,4000,true
14003,3. EUS검사일자,true,date,yyyyMMdd,,true
18009,9. 수술후기타합병증내용,false,textarea,,4000,true
22004,4. 방사선치료처방순번,true,,,,false
23004,4. 재발진단순번,true,,,,false
21004,4. 항암요법순번,true,,,,false
9150,50. 주증상내용,false,textarea,,200,true
19003,3. 수혈처방일자,true,date,yyyyMMdd,,true
20003,3. 약제처방일자,true,date,yyyyMMdd,,true
20018,18. 약제EDI명,false,,,,true
20019,19. 약제ATC코드,false,,,,true
20020,20. 약제ATC명,false,,,,true
20021,21. 약제RXNORM코드,false,,,,true
20022,22. 약제RXNORM명,false,,,,true
20027,27. 약제처방용량단위,false,selectbox,,,true
21002,2. 환자대체번호,false,,,,true
21003,3. 항암요법시작일자,true,date,yyyyMMdd,,true
21005,5. 항암요법종료일자,false,date,yyyyMMdd,,true
21006,6. 항암요법라인수,false,,,,true
21007,7. 항암요법총주기수,false,,,,true
21008,8. 항암요법치료목적,false,selectbox,,,true
21013,13. 항암요법종료이유,false,selectbox,,,true
21015,15. 항암요법평가일자,false,date,yyyyMMdd,,true
9209,9. 환자가족관계기타내용,false,textarea,,200,true
21016,16. 항암요법평가항목,false,selectbox,,,true
21018,18. 항암요법부작용,false,selectbox,,,true
21020,20. 항암요법부작용등급코드,false,selectbox,,,true
22008,8. 방사선치료명,false,,,,true
22010,10. 방사선치료EDI명,false,,,,true
22017,17. 부위별방사선시행횟수,false,,,,true
23011,11. 재발치료내용,false,textarea,,,true
9044,44. 입력일,false,date,yyyyMMdd,,true
9503,3. 진단병기기록일자,true,date,yyyyMMdd,,true
22012,12. 방사선치료SNOMEDCT명,false,,,,true
23003,3. 재발진단일자,true,date,yyyyMMdd,,true
9042,42. 퇴원일,false,date,yyyyMMdd,,true
9125,25. 병력여부구분,false,selectbox,,,true
16023,23. ESD결과내용,false,textarea,,500,true
9222,22. 가족력암종류기타내용,false,textarea,,200,true
20025,25. 약제투여경로,false,selectbox,,,true
9225,25. 가족병력기타내용,false,textarea,,200,true
9129,29. 병력고혈압여부구분,false,selectbox,,,true
9141,41. 병력우울증여부구분,false,selectbox,,,true
9143,43. 병력불면증여부구분,false,selectbox,,,true
9703,3. 진단검사일자,true,date,yyyyMMdd,,true
9117,17. 현재흡연여부구분,false,selectbox,,,true
17005,5. 외과병리판독일자,false,date,yyyyMMdd,,true
20023,23. 약제처방용량,false,,,,true
20024,24. 약제처방일수,false,,,,true
10099,free_text,false,textarea,"",,false
9899,free_text,false,textarea,"",,false
14099,free_text,false,textarea,"",,false
9999,free_text,false,textarea,"",,false
11099,free_text,false,textarea,"",,false
13099,free_text,false,textarea,"",,false
12099,free_text,false,textarea,"",,false
9147,47. 기타병력여부구분,false,selectbox,,,true
9153,53. 타병원진단후전원여부구분,false,selectbox,,,true
9151,51. 주증상여부구분,false,selectbox,,,true
9155,55. 퇴원상태,false,selectbox,,,true
9210,10. 가족병력고혈압여부구분,false,selectbox,,,true
9216,16. 가족병력간질환여부구분,false,selectbox,,,true
9212,12. 가족병력당뇨여부구분,false,selectbox,,,true
9214,14. 가족력결핵여부구분,false,selectbox,,,true
9218,18. 가족병력암여부구분,false,selectbox,,,true
9220,20. 가족력암종류,false,selectbox,,,true
9407,7. 진단코드,false,,,,true
9310,10. ECOG,false,selectbox,,,true
9405,5. 위암진단종류,false,selectbox,,,true
9409,9. 진단KCD코드,false,,,,true
9411,11. 진단SNOMEDCT코드,false,,,,true
9906,6. 면역병리검사코드,false,,,,true
9908,8. 면역병리검사종류,false,selectbox,,,true
9910,10. 면역병리검사소견,false,selectbox,,,true
9913,13. 면역병리검사결과단위,false,selectbox,,,true
10006,6. 분자병리검사코드,false,,,,true
10008,8. 분자병리검사종류,false,selectbox,,,true
10010,10. 분자병리검사소견,false,selectbox,,,true
11006,6. 생체검사부위,false,selectbox,,,true
13014,14. 위내시경합병증코드,false,selectbox,,,true
19005,5. 혈액제제종류,false,selectbox,,,true
11013,13. 조직학적진단코드,false,selectbox,,,true
11015,15. 조직학적분화도코드,false,selectbox,,,true
12005,5. HPYLORI검사방법,false,selectbox,,,true
12007,7. HPYLORI검사결과,false,selectbox,,,true
13005,5. 위내시경검사목적,false,selectbox,,,true
13010,10. 위내시경검사결과유형,false,selectbox,,,true
13012,12. 위내시경합병증등급,false,,,,true
14005,5. EUS_T병기,false,selectbox,,,true
11010,10. 생체검사방법종류,false,selectbox,,,true
14007,7. EUS_N병기,false,selectbox,,,true
14009,9. EUS_M병기,false,selectbox,,,true
14013,13. EUS합병증,false,selectbox,,,true
15005,5. 수술종류,false,selectbox,,,true
15007,7. 수술코드,false,,,,true
15009,9. 수술EDI코드,false,,,,true
15011,11. 수술SNOMEDCT코드,false,,,,true
15013,13. 수술ICD9CM코드,false,,,,true
15016,16. 수술목적,false,selectbox,,,true
15040,40. 유착방지제사용여부구분,false,selectbox,,,true
16016,16. ESD천공여부구분,false,selectbox,,,true
15043,43. 그물막절제범위,false,selectbox,,,true
15045,45. 근치도,false,selectbox,,,true
15047,47. 림프절절제정도,false,selectbox,,,true
15050,50. 합병절제부위,false,selectbox,,,true
15052,52. 재건술종류,false,selectbox,,,true
15055,55. 재건술방법,false,selectbox,,,true
15057,57. 재건술접근법,false,selectbox,,,true
15060,60. 복수여부구분,false,selectbox,,,true
16008,8. ESD병변모양,false,selectbox,,,true
16010,10. ESD병변위치가로,false,selectbox,,,true
16012,12. ESD병변위치세로,false,selectbox,,,true
16014,14. ESD궤양여부구분,false,selectbox,,,true
11008,8. 생체검사방법코드,false,,,,true
16018,18. ESD천공조치,false,selectbox,,,true
16020,20. ESD결과,false,selectbox,,,true
17006,6. 외과병리채취부위,false,selectbox,,,true
17017,17. 수술후종방향2종양위치,false,selectbox,,,true
17011,11. 조직학적분화도,false,selectbox,,,true
17013,13. 수술후둘레방향종양위치,false,selectbox,,,true
17015,15. 수술후종방향1종양위치,false,selectbox,,,true
17035,37. 수술근위절제면잔존암여부구분,false,selectbox,,,true
17118,19. GROSS유형,false,selectbox,,,true
17027,28. 침윤정도,false,selectbox,,,true
17030,31. 림프성침윤여부구분,false,selectbox,,,true
17032,33. 혈관성침윤여부구분,false,selectbox,,,true
17133,35. 신경주위침윤여부구분,false,selectbox,,,true
17041,43. 위식도경계부위암분류,false,selectbox,,,true
17051,53. ESD수직절제면잔존암여부구분,false,selectbox,,,true
17054,56. ESD수평절제면잔존암여부구분,false,selectbox,,,true
18005,5. 수술후합병증분류,false,selectbox,,,true
17025,26. 침습장기,false,selectbox,,,true
22007,7. 방사선치료코드,false,,,,true
18007,7. 수술후합병증,false,selectbox,,,true
20005,5. 약제분류,false,selectbox,,,true
17009,9. 조직학적진단,false,selectbox,,,true
20007,7. 약제구분,false,selectbox,,,true
20009,9. 약제성분종류,false,selectbox,,,true
20011,11. 약제성분코드,false,,,,true
20013,13. 약제성분SNOMEDCT코드,false,,,,true
20015,15. 약제코드,false,,,,true
22013,13. 방사선치료목적,false,selectbox,,,true
22009,9. 방사선치료EDI코드,false,,,,true
22011,11. 방사선치료SNOMEDCT코드,false,,,,true
22021,21. 방사선치료평가항목,false,selectbox,,,true
22023,23. 방사선치료부작용시기구분,false,selectbox,,,true
22025,25. 방사선치료부작용종류,false,selectbox,,,true
22027,27. 방사선치료부작용등급,false,selectbox,,,true
23005,5. 재발진단방법,false,selectbox,,,true
23007,7. 재발부위,false,selectbox,,,true
23009,9. 재발종류,false,selectbox,,,true
9011,11. 행려환자,false,selectbox,,,true
9145,45. 병력심장질환여부구분,false,selectbox,,,true
15038,38. 수술시항암요법,false,selectbox,,,true
9223,23. 가족병력기타여부구분,false,selectbox,,,true
