codebook_id,title,description,order_no
40140,Distant lymph node,06,6
40140,Liver,07,7
40140,Lung,09,9
40140,Stomach,10,10
40140,기타,99,11
40150,Grade 1,01,1
40150,Grade 2,02,2
40150,Grade 3,03,3
40150,Grade 4,04,4
40150,Grade 5,05,5
40160,급성(3개월 이내),1,1
40160,만성(3개월 초과),2,2
40170,Aches,01,1
40170,Fatigue,02,2
40170,Heart damage,03,3
40170,Skin irritation,05,5
40170,Swelling of  breast,06,6
40180,뇌 정위적 방사선수술,01,1
40180,밀봉소선원치료,02,2
40180,세기변조 방사선치료,03,3
40180,양성자 치료,04,4
40180,입체조형치료,05,5
40180,전신조사,06,6
40180,정위적 방사선 분할치료,07,7
40180,체부 정위적 방사선수술,08,8
40180,체외조사,09,9
40200,CR,01,1
40200,PD,02,2
40200,PR,03,3
40200,SD,04,4
40200,NE,05,5
40200,기타,99,6
40240,MAC,01,1
40240,경막외,02,2
40240,국소,03,3
40240,신경차단,04,4
40240,전신,05,5
40240,정맥,06,6
40240,척추,07,7
40240,척추+경막외,08,8
40240,기타,99,9
40250,Curative,1,1
40250,Palliative,2,2
40250,기타,9,3
40260,개복,01,1
40260,내시경 복강경 협력 수술,02,2
40260,로봇 보조,03,3
40260,로봇-다공,04,4
40260,로봇-단일공,05,5
40260,복강경보조,06,6
40260,전복강경 (다공; multi-port),07,7
40260,전복강경 (단일공; single port),08,8
40260,기타,99,9
40280,No,01,1
40280,IP chemo,02,2
40280,HIPEC,03,3
40280,LHIPEC,04,4
40280,PIPAC,05,5
40280,기타,99,6
40290,Rt upper transverse incision & multi-ports,01,1
40290,Short upper midline & multi-ports,02,2
40290,Single port/ single incision,03,3
40290,Umbilical incision & multi-ports,04,4
40290,Upper midline,05,5
40290,기타,99,6
40310,Distal gastrectomy,06,6
40310,Open and closure with biopsy,15,15
40310,Proximal gastrectomy,18,18
40310,Pylorus preserving gastrectomy,19,19
40310,Segmental resection,23,23
40310,Total gastrectomy,27,27
40310,Wedge resection,28,28
40310,기타,99,29
40380,세포독성약제,01,1
40380,항암표적약제,02,2
40380,항암내분비약제,03,3
40380,항암면역약제,04,4
40380,기타항암약제,05,5
40380,기타,99,6
40390,항암약제,1,1
40390,기타약제,9,2
40400,Capecitabine,06,6
40400,Carboplatin,07,7
40400,Cisplatin,09,9
40400,Docetaxel,11,11
40400,Doxorubicin,12,12
40400,Epirubicin,13,13
40400,Etoposide,15,15
40400,Fluorouracil,18,18
40400,Irinotecan hydrochloride,24,24
40400,Leucovorin,27,27
40400,Methotrexate,30,30
40400,Mitomycin C,31,31
40400,Nivolumab,32,32
40400,Oxaliplatin,33,33
40030,"Elevated (I, IIa, IIa+IIc)",1,1
40400,Paclitaxel,34,34
40400,Pembrolizumab,36,36
40400,Ramucirumab,38,38
40400,Tegafur/gimeracil/oteracil(S-1),41,41
40400,Trastuzumab,43,43
40400,Trifluridine-tipiracil,45,45
40400,기타,99,47
40420,AMP,01,1
40420,cap,02,2
40420,dos,03,3
40420,ea,04,4
40420,g,05,5
40420,g/kg,06,6
40420,g/m2,07,7
40420,ke,08,8
40420,kit,09,9
40420,mcg,10,10
40420,mcg/kg,11,11
40420,mcg/m2,12,12
40420,mg,13,13
40420,mg/kg,14,14
40420,mg/m2,15,15
40420,ml,16,16
40420,pfu,17,17
40420,pkg,18,18
40420,set,19,19
40420,tab,20,20
40420,unit,21,21
40420,기타,99,22
40440,경구,01,1
40440,정맥내주사,03,3
40440,척수강내주사,04,4
40440,기타,99,7
40460,Hand-sewing,03,3
40460,Not applicable,05,5
40460,Stapler,06,6
40460,기타,99,10
40480,Intracorporeal,1,1
40480,Extracorporeal,2,2
40480,Not applicable,3,3
40480,기타,9,4
40490,Billroth I,01,1
40490,Billroth II,02,2
40490,Double tract method,03,3
40490,Esophagogastrostomy,04,4
40490,Gastrogastrostomy,05,5
40490,Primary repair,06,6
40490,Roux-en-Y,07,7
40490,기타,99,8
40500,None,01,1
40500,Colon,02,2
40500,Liver,04,4
40500,Pancreas,05,5
40500,Spleen,06,6
40500,기타,99,7
40520,I,01,1
40520,II,02,2
40520,III,03,3
40520,IV,04,4
40520,V,05,5
40530,Alopecia,01,1
40530,Anorexia,02,2
40530,Dry skin,05,5
40530,Hand-foot syndrome,07,7
40530,Nausea/vomiting,10,10
40530,기타,99,13
40550,Tumor progression,1,1
40550,사망,2,2
40550,추적관찰 소실,3,3
40550,항암제 부작용,4,4
40550,기타,9,5
40560,Adjuvant,01,1
40560,Concurrent,02,2
40560,Consolidation,03,3
40560,Induction,04,4
40560,Maintenance,05,5
40560,Neoadjuvant,06,6
40560,Palliative,07,7
40560,Salvage,08,8
40560,기타,99,9
40570,CR,01,1
40570,PD,02,2
40570,PR,03,3
40570,SD,04,4
40570,NE,05,5
40570,기타,99,6
40580,Apheresis platelet,01,1
40580,Autotransfusion,03,3
40580,Cryoprecipitate,04,4
40580,Fresh frozen plasma,05,5
40580,Platelet,06,6
40580,Pre-storage Leukocyte Filtered Red Blood Cells,08,8
40580,Red blood cell,09,9
40580,Washed red blood cell,10,10
40580,기타,99,11
50010,Bone,01,1
50010,Distans LN,05,5
50010,Liver,06,6
50010,Lung,08,8
50010,Peritoneum,09,9
50010,기타,99,10
50020,Both Local & Distant,1,1
50020,Distant(Systemic),2,2
50020,Locoregional,3,3
50040,영상검사,1,1
50040,조직검사,2,2
50040,기타,9,3
60010,남,1,1
60010,여,2,2
60020,간암,01,1
60020,대장암,02,2
60020,신장암,03,3
60020,위암,04,4
60020,유방암,05,5
60020,자궁경부암,06,6
60020,전립선,07,7
60020,췌장암,08,8
60020,폐암,09,9
60020,혈액암,10,10
60020,기타암,99,11
60030,외국인,1,1
60030,내국인,2,2
60030,모름,9,3
60040,행려환자,1,1
60040,일반환자,2,2
60040,모름,9,3
60050,전문·기술직,01,1
60050,행정 및 관리직,02,2
60050,사무직,03,3
60050,판매종사직,04,4
60050,서비스직,05,5
60050,농업; 어업; 축산업; 임업,06,6
60050,생산직,07,7
60050,운수업,08,8
60050,단순노무직,09,9
60050,분류불능,10,10
60050,학생,11,11
60050,군인,12,12
60050,주부,13,13
60050,무직,14,14
60050,직업 모름,99,15
60060,검진,1,1
60060,우연한 발견(수술 시 검사하면서),2,2
60060,증상발현(임상적 발현),3,3
60060,미상,4,4
60060,기타,9,5
60070,Not a paired site,01,1
60070,Right: origin of primary,02,2
60070,Left: origin of primary,03,3
60070,Only one side involved; right or left origin unspecified,04,4
60070,Bilateral involvement at time of diagnosis; lateral origin unknown for a single primary,05,5
60070,Paired site: midline tumor,06,6
60070,Paired site; but no information concerning laterality,99,7
60080,Grade I,01,1
60080,Grade II,02,2
60080,Grade III,03,3
60080,Grade IV,04,4
60080,T-cell,05,5
60080,B-Cell,06,6
60080,Null cell,07,7
60080,NK cell,08,8
60080,Not applicable,99,9
60090,임상진단,01,1
60090,임상검사,02,2
60090,조직검사없는 진단적 수술/부검,03,3
60090,특수 생화학적 또는 면역학적 검사,04,4
60090,세포학적 또는 혈액학적 검사,05,5
60090,전이부위 조직검사,06,6
60090,부검,08,8
60090,기타,99,9
60100,시행,1,1
60100,시행하지 않음,2,2
60110,In situ,01,1
60110,Localized only,02,2
60110,Regional by direct extension only,03,3
60110,Regional lymph nodes involved only,04,4
60110,Regional by BOTH direct extension AND lymph node involvement,05,5
60110,Regional; NOS (Not Otherwise Specified),06,6
60110,Distant site(s)/node(s) involved,07,7
60110,Unknown if extension or metastasis (unstaged; unknown; or unspecified) Death certification only case,99,8
60090,원발부위 조직검사,07,7
