"codebook_id";"description";"title";"order_no"
"40560";"06";"Neoadjuvant";"6"
"40560";"07";"Palliative";"7"
"40560";"08";"Salvage";"8"
"40560";"99";"기타";"9"
"40570";"01";"CR";"1"
"40570";"02";"PD";"2"
"40570";"03";"PR";"3"
"40570";"04";"SD";"4"
"40570";"05";"NE";"5"
"40570";"99";"기타";"6"
"40580";"01";"Apheresis platelet";"1"
"40580";"03";"Autotransfusion";"3"
"40580";"04";"Cryoprecipitate";"4"
"40580";"05";"Fresh frozen plasma";"5"
"40580";"06";"Platelet";"6"
"40580";"08";"Pre-storage Leukocyte Filtered Red Blood Cells";"8"
"40580";"09";"Red blood cell";"9"
"40580";"10";"Washed red blood cell";"10"
"40580";"99";"기타";"11"
"50010";"01";"Bone";"1"
"50010";"05";"Distans LN";"5"
"50010";"06";"Liver";"6"
"50010";"08";"Lung";"8"
"50010";"09";"Peritoneum";"9"
"50010";"99";"기타";"10"
"50020";"1";"Both Local & Distant";"1"
"50020";"2";"Distant(Systemic)";"2"
"50020";"3";"Locoregional";"3"
"50040";"1";"영상검사";"1"
"50040";"2";"조직검사";"2"
"50040";"9";"기타";"3"
"60010";"1";"남";"1"
"60010";"2";"여";"2"
"60020";"01";"간암";"1"
"60020";"02";"대장암";"2"
"60020";"03";"신장암";"3"
"60020";"04";"위암";"4"
"60020";"05";"유방암";"5"
"60020";"06";"자궁경부암";"6"
"60020";"07";"전립선";"7"
"60020";"08";"췌장암";"8"
"60020";"09";"폐암";"9"
"60020";"10";"혈액암";"10"
"60020";"99";"기타암";"11"
"60030";"1";"외국인";"1"
"60030";"2";"내국인";"2"
"60030";"9";"모름";"3"
"60040";"1";"행려환자";"1"
"60040";"2";"일반환자";"2"
"60040";"9";"모름";"3"
"60050";"01";"전문·기술직";"1"
"60050";"02";"행정 및 관리직";"2"
"60050";"03";"사무직";"3"
"60050";"04";"판매종사직";"4"
"60050";"05";"서비스직";"5"
"60050";"06";"농업; 어업; 축산업; 임업";"6"
"60050";"07";"생산직";"7"
"60050";"08";"운수업";"8"
"60050";"09";"단순노무직";"9"
"60050";"10";"분류불능";"10"
"60050";"11";"학생";"11"
"60050";"12";"군인";"12"
"60050";"13";"주부";"13"
"60050";"14";"무직";"14"
"60050";"99";"직업 모름";"15"
"60060";"1";"검진";"1"
"60060";"2";"우연한 발견(수술 시 검사하면서)";"2"
"60060";"3";"증상발현(임상적 발현)";"3"
"60060";"4";"미상";"4"
"60060";"9";"기타";"5"
"60070";"01";"Not a paired site";"1"
"60070";"02";"Right: origin of primary";"2"
"60070";"03";"Left: origin of primary";"3"
"60070";"04";"Only one side involved; right or left origin unspecified";"4"
"60070";"05";"Bilateral involvement at time of diagnosis; lateral origin unknown for a single primary";"5"
"60070";"06";"Paired site: midline tumor";"6"
"60070";"99";"Paired site; but no information concerning laterality";"7"
"60080";"01";"Grade I";"1"
"60080";"02";"Grade II";"2"
"60080";"03";"Grade III";"3"
"60080";"04";"Grade IV";"4"
"60080";"05";"T-cell";"5"
"60080";"06";"B-Cell";"6"
"60080";"07";"Null cell";"7"
"60080";"08";"NK cell";"8"
"60080";"99";"Not applicable";"9"
"60090";"01";"임상진단";"1"
"60090";"02";"임상검사";"2"
"60090";"03";"조직검사없는 진단적 수술/부검";"3"
"60090";"04";"특수 생화학적 또는 면역학적 검사";"4"
"60090";"05";"세포학적 또는 혈액학적 검사";"5"
"60090";"06";"전이부위 조직검사";"6"
"60090";"07";"원발부위 조직점사";"7"
"60090";"08";"부검";"8"
"60090";"99";"기타";"9"
"60100";"1";"시행";"1"
"60100";"2";"시행하지 않음";"2"
"60110";"01";"In situ";"1"
"60110";"02";"Localized only";"2"
"60110";"03";"Regional by direct extension only";"3"
"60110";"04";"Regional lymph nodes involved only";"4"
"60110";"05";"Regional by BOTH direct extension AND lymph node involvement";"5"
"60110";"06";"Regional; NOS (Not Otherwise Specified)";"6"
"60110";"07";"Distant site(s)/node(s) involved";"7"
"60110";"99";"Unknown if extension or metastasis (unstaged; unknown; or unspecified) Death certification only case";"8"
